"dataset","structure_index","enzyme_index","uniprot","sequence_length","substrate","n_samples","n_positive"
"brenda","117208","5230","Q9AXH9","499","NCCc1ccc(Br)cc1","1","0"
"brenda","117222","5272","K4CI52","469","C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","117335","5267","Q9FH76","463","O=C=O","1","0"
"brenda","117341","5034","P05093","508","OCC(O)CO","1","0"
"brenda","117361","5339","P15150","503","Oc1c(Cl)cc(Cl)cc1Cl","1","0"
"brenda","117388","5358","Q07973","514","CSc1ccc([N+](=O)[O-])cc1","1","0"
"brenda","117449","5644","O64698","499","Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1","1","0"
"brenda","117515","5279","Q6QNI4","494","CCCCCCCC/C=C\CCCCCCCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0"
"brenda","117567","5293","A2TEF2","480","COc1ccccc1C(=O)[O-]","1","0"
"brenda","117650","4965","O09158","503","N=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1","1","0"
"brenda","117746","5320","O49394","523","N=C(O)CC[C@H](N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@@H]1CCCN1C(=O)[C@H](CO)N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@H](Cc1cnc[nH]1)N=C(O)c1ccccc1N)C(O)=NCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]","1","0"
"brenda","117766","5071","O75881","506","N[C@H](C(=O)O)C(Cl)C(=O)O","1","0"
"brenda","117839","5128","B8QHP5","523","Cc1ccc(S(=O)(=O)NCC(=O)N2CCC[C@H]2C(O)=N[C@@H](CCCCN)C(=O)Nc2ccc([N+](=O)[O-])cc2)cc1","1","0"
"brenda","117894","5193","Q04468","505","Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@@H](O)[C@H]2O","1","0"
"brenda","117983","5261","C0SPF7","493","O","1","0"
"brenda","118038","23124","Q9DBX6","501","C[C@H](N)C(=O)O","1","0"
"brenda","118049","5127","O23066","553","CCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1","1","0"
"brenda","118190","5357","Q64441","514","CC(C=O)c1cccc2ccccc12","1","0"
"brenda","118212","5354","Q06069","410","[C]1=C=C=C=[C-]1.[C]1=C=C=C=[C-]1.[Fe+3]","1","0"
"brenda","118240","5267","Q9FH76","463","C=C(CCO)C(=O)OC[C@H]1OC(O)C(O)[C@@H](O)C1O","1","0"
"brenda","118247","5331","Q6WG30","499","COC(=O)/C=C(\C)CC/C=C(\C)CCC=C(C)C","1","0"
"brenda","118320","5253","Q2MJ20","479","Nc1ncnc2c1ncn2[C@H]1CC[C@@H](CO)O1","1","0"
"brenda","118363","5202","Q43033","506","O","1","0"
"brenda","118383","5671","P47195","487","NC1(C(=O)O)CC1","1","0"
"brenda","118761","5118","A0A3Q7HS74","475","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","118776","5644","O64698","499","CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3N=C(C)O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](N=C(C)O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O","1","0"
"brenda","118780","5070","F7EN52","525","O","1","0"
"brenda","118783","5361","O35084","507","COc1cc(/C=C/C=O)ccc1O","1","0"
"brenda","118789","5068","Q9Y6A2","500","CCCCCO","1","0"
"brenda","118885","5123","P51589","502","O=C1C=C2C[C@H](C(=O)O)NC2=CC1=O","1","0"
"brenda","118892","4959","Q04552","498","CCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN","1","0"
"brenda","119016","5357","Q64441","514","CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0"
"brenda","119083","5265","Q8VQF6","404","CCCCCCCCCCCCCCCC(=O)OC(COC(=O)C(=O)CCC)COP(=O)(O)OCC[N+](C)(C)C","1","0"
"brenda","119235","5099","A0A068Q609","526","N=C(O)CCCCC(S)CCS","1","0"
"brenda","119271","5272","K4CI52","469","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","119371","5125","P78329","520","N=c1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1","1","0"
"brenda","119372","5253","Q2MJ20","479","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","119422","5267","Q9FH76","463","O=CCc1ccc(O)c(O)c1","1","0"
"brenda","119529","21272","B3LF83","384","O=C([O-])C1=C(C[n+]2ccccc2)CS[C@@H]2[C@H](N=C(O)Cc3cccs3)C(=O)N12","1","0"
"brenda","119547","5253","Q2MJ20","479","CC(OP(C)(=O)F)C(C)(C)C","1","0"
"brenda","119582","5034","P05093","508","CC1CCCC(=O)C1","1","0"
"brenda","119597","5363","O35132","501","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0"
"brenda","119712","5109","P08684","503","Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N)[C@H](O)[C@H]3N)ccc12","1","0"
"brenda","119761","21284","Q9LLB0","510","CC(O)=N[C@H]1C(Oc2ccc3c(C)cc(=O)oc3c2)O[C@H](CO)[C@@H](O)[C@@H]1O","1","0"
"brenda","119770","5109","P08684","503","O=C(O)/C=C/c1ccccc1O","1","0"
"brenda","119786","5317","P93149","523","Nc1ccc(O)c(C(=O)O)c1","1","0"
"brenda","119882","5129","Q02928","519","OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O","1","0"
"brenda","119885","5125","P78329","520","O=C(O)[C@@H](O)[C@H](O)C(=O)O","1","0"
"brenda","119894","5230","Q9AXH9","499","NC1(C(=O)O)CC1","1","0"
"brenda","119915","5167","Q8VWZ7","493","Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)nc1O","1","0"
"brenda","119955","5300","Q12664","515","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","120006","5331","Q6WG30","499","CC(=O)Oc1ccc(C=O)cc1","1","0"
"brenda","120098","5354","Q06069","410","CCCSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1","1","0"
"brenda","120143","5242","P0CT93","528","N=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(O)n1","1","0"
"brenda","120200","5675","L7T8H2","489","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","120217","5267","Q9FH76","463","CC(O)=N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(O)nc3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O","1","0"
"brenda","120351","5110","Q9GJX5","504","CC(O)=NCC(O)=N[C@H](C(O)=NCC(O)=N[C@@H](CCCNC(=N)N)C(=O)Nc1ccc([N+](=O)[O-])cc1)[C@@H](C)O","1","0"
"brenda","120369","5358","Q07973","514","O=C(O)CC[C@H](N=C(O)OCc1ccccc1)C(O)=NCC(=O)O","1","0"
"brenda","120403","5099","A0A068Q609","526","O[C@H](CS)[C@H](O)CS","1","0"
"brenda","120413","5267","Q9FH76","463","O=[N+]([O-])c1ccccc1O[C@@H]1OC[C@@H](O[C@@H]2OC[C@@H](O[C@@H]3OC[C@@H](O[C@@H]4OC[C@@H](O[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O","1","0"
"brenda","120479","5147","Q9SD85","513","O=P(O)(O)OP(=O)(O)O","1","0"
"brenda","120502","5071","O75881","506","O=C(O)C[C@H](O)C(=O)O","1","0"
"brenda","120528","21272","B3LF83","384","O=C1C[C@H]2C=CC[C@@H]12","1","0"
"brenda","120569","5130","A2RRT9","525","C1=Cc2ccccc2C1","1","0"
"brenda","120653","5123","P51589","502","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C","1","0"
"brenda","120691","5358","Q07973","514","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1","0"
"brenda","120718","5225","P98183","506","O=P(O)(O)OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1","0"
"brenda","120742","5206","P17549","517","NC(CCC(O)=NC(CSCc1ccc([N+](=O)[O-])cc1)C(O)=NCC(=O)O)C(=O)O","1","0"
"brenda","120778","5241","H1A988","523","O=C[C@H](O)[C@H](O)COP(=O)(O)O","1","0"
"brenda","120817","4959","Q04552","498","CNC(Cc1ccccc1)C(=O)O","1","0"
"brenda","120903","5064","Q6VVX0","501","CSCC[C@H](N=C(O)[C@H](CCC(=O)O)N=C(O)[C@H](CCC(=O)O)N=C(O)[C@@H](N=C(O)[C@@H](N=C(O)[C@@H](N=C(O)[C@@H](N)CC(=O)O)[C@@H](C)O)C(C)C)C(C)C)C(O)=N[C@@H](CO)C(=O)O","1","0"
"brenda","120949","5034","P05093","508","[Fe+2]","1","0"
"brenda","121040","5073","Q63688","414","CC(C)C[C@H](N=C(O)/C=C/c1ccco1)C(O)=N[C@@H](C)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@@H](C)C(O)=N[C@@H](C)C(=N)O","1","0"
"brenda","121161","5255","I7C6E8","481","O=C([O-])O","1","0"
"brenda","121179","5187","Q6WNR0","498","C/C(=C\COP(=O)(O)OP(=O)(O)O)CC/C=C(\C)CNc1cccc(OC(F)(F)F)c1","1","0"
"brenda","121200","5320","O49394","523","O=P(O)(O)OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1","0"
"brenda","121239","5034","P05093","508","O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O","1","0"
"brenda","121380","21272","B3LF83","384","N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1","1","0"
"brenda","121387","5206","P17549","517","O=C(O)C1=CC=C[CH]1.[CH]1C=CC=C1.[Fe]","1","0"
"brenda","121434","5316","W8JIS5","515","N[C@H](CC(=O)O)C(=O)O","1","0"
"brenda","121568","5290","A6YIH8","502","O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1","1","0"
"brenda","121571","5358","Q07973","514","O=c1nc(O)ccn1[C@@H]1C[C@@H](O)[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1","1","0"
"brenda","121579","5167","Q8VWZ7","493","CC1=CC(=O)OC2C=CC(O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N=C(C)O)[C@H](O)[C@H]3N=C(C)O)=CC12","1","0"
"brenda","121637","5003","P15540","492","NCCCC[C@H](N=C(O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)Nc1ccc([N+](=O)[O-])cc1","1","0"
"brenda","121661","5112","Q9LSF8","515","CN(C)C(=N)NCCC[C@H](N)C(=O)O","1","0"
"brenda","121707","5130","A2RRT9","525","N=C(N)NCCCC=O","1","0"
"brenda","121710","5254","F6H9N6","480","CC[C@]1(C)CC(=O)C=C(C)[C@]1(O)/C=C/C(C)=C\C(=O)O","1","0"
"brenda","121746","5253","Q2MJ20","479","CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C","1","0"
"brenda","121778","5150","Q8W3Y5","513","O=c1nc(O)ccn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","121783","5126","Q6ZWL3","525","O=C(O)C(Cc1ccc(N(CCCl)CCCl)cc1)N=C(O)C1CCN(C(=O)CN=C(O)OCc2ccccc2)C1","1","0"
"brenda","121897","5125","P78329","520","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O","1","0"
"brenda","121923","5034","P05093","508","C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O","1","0"
"brenda","121969","5099","A0A068Q609","526","O=C1C=CC(=Nc2cc(Cl)c(O)c(Cl)c2)C=C1","1","0"
"brenda","122005","21353","Q8W2N5","478","C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O","1","0"
"brenda","122030","5260","Q6R7M4","493","O=CCCO","1","0"
"brenda","122177","5105","Q9XHE8","496","CC(C)=CCC/C(C)=C/CC/C(C)=C/CSC[C@H](N=C(O)CCCC[C@@H]1SC[C@@H]2N=C(O)N[C@@H]21)C(=O)O","1","0"
"brenda","122220","5657","A8CDR5","486","Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","122224","5063","P08683","500","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O","1","0"
"brenda","122314","3383","P23295","403","O=C(O)[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O1","1","0"
"brenda","122321","5201","Q9AR74","506","CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)/C=C/c1cccc(O)c1","1","0"
"brenda","122324","5267","Q9FH76","463","O=C([O-])c1cccc(Cl)c1","1","0"
"brenda","122336","5202","Q43033","506","N=c1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O3)c2[nH]1","1","0"
"brenda","122339","5068","Q9Y6A2","500","N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O","1","0"
"brenda","122428","5358","Q07973","514","COc1ccc(CO)cc1OC","1","0"
"brenda","122453","5680","E9KBR8","527","OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O","1","0"
"brenda","122504","5127","O23066","553","C=C[C@@](C)(/C=C/C(C)CC/C=C(\C)CCC=C(C)C)CC/C=C(/C)CCC=C(C)C","1","0"
"brenda","122590","5280","C0SJS4","476","N=C(O)CC[C@H](N=C(O)[C@H](CCCNC(=N)N)N=C(O)C(CO)N=C(O)[C@@H]1CCCN1C(=O)[C@H](CO)N=C(O)[C@H](Cc1ccccc1)N=C(O)CN=C(O)c1ccccc1N)C(O)=NCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]","1","0"
"brenda","122660","5126","Q6ZWL3","525","O=Cc1ccccc1O","1","0"
"brenda","122689","5293","A2TEF2","480","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","122850","5116","A0A0C5QRZ2","492","O=C(O)CC(C(=O)O)C(O)C(=O)O","1","0"
"brenda","122904","5292","Q43257","538","N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O","1","0"
"brenda","122993","5290","A6YIH8","502","N=C1N=C(O)C2N=C(CO)CNC2N1","1","0"
"brenda","123060","5171","Q59723","406","CCCCCCCCCC(=O)Oc1ccc([N+](=O)[O-])cc1","1","0"
"brenda","123071","5111","A0A1D6F9Y9","554","O=P(O)(O)O","1","0"
"brenda","123162","5167","Q8VWZ7","493","CCCC(=O)C(=O)[O-]","1","0"
"brenda","123174","5123","P51589","502","C[C@H](CCC([O-])=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","0"
"brenda","123218","5178","Q9SXS3","523","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","123236","5216","D5JBX0","488","O","1","0"
"brenda","123250","5761","C9K1X6","459","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","123267","5060","P51542","501","O=C(O)CCC(=O)C(=O)O","1","0"
"brenda","123268","4959","Q04552","498","CCC/C=C/C(O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0"
"brenda","123298","5128","B8QHP5","523","CC(=O)C(=O)O","1","0"
"brenda","123372","5284","C0SJS3","478","COc1cc(/C=C/C(=O)OC[C@@H]2O[C@@H](Oc3ccc([N+](=O)[O-])cc3)[C@H](O)[C@H]2O)ccc1O","1","0"
"brenda","123471","5171","Q59723","406","C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(=N)nc(O)c2N1","1","0"
"brenda","123646","5064","Q6VVX0","501","CO/N=C(\C(O)=N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(=N)[nH]1","1","0"
"brenda","123681","5171","Q59723","406","O=CCCc1ccccc1","1","0"
"brenda","123715","5064","Q6VVX0","501","C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O","1","0"
"brenda","123762","5071","O75881","506","CC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0"
"brenda","123833","5034","P05093","508","Nc1ccc(-c2ccccc2)cc1","1","0"
"brenda","123836","5127","O23066","553","CC/C=C\C/C=C\C/C=C\CCCCCCCC(O)=NCC(C)C","1","0"
"brenda","123837","5082","Q9GMC8","508","O=C([O-])c1cccc(F)c1","1","0"
"brenda","123851","5644","O64698","499","CC(=O)O[C@H](C#N)c1ccccc1","1","0"
"brenda","123872","5230","Q9AXH9","499","C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","0"
"brenda","123893","5188","Q2LAL0","503","CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C","1","0"
"brenda","123910","5359","Q09128","514","Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1","0"
"brenda","124016","5666","Q50LH4","495","O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21","1","0"
"brenda","124111","5359","Q09128","514","O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","1","0"
"brenda","124123","5112","Q9LSF8","515","NCCCCCCN","1","0"
"brenda","124137","5123","P51589","502","CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C","1","0"
"brenda","124186","5227","Q9AXM6","497","O","1","0"
"brenda","124239","5357","Q64441","514","N[C@@H](CCC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O","1","0"
"brenda","124281","5762","C9K1X7","459","O=P(O)(O)OC[C@H]1OC(O)C[C@@H]1O","1","0"
"brenda","124296","5361","O35084","507","Nc1ncnc2c1ncn2[C@H]1C=C[C@@H](COP(=O)(O)O)O1","1","0"
"brenda","124331","5098","P48421","502","O=C(O)[C@H](O)COP(=O)(O)O","1","0"
"brenda","124500","5295","Q16850","509","CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1","1","0"
"brenda","124509","5357","Q64441","514","CC[C@H](C)[C@H](N=C(O)[C@H](C)N=C(O)c1ccccc1N)C(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](Cc1ccccc1)C(O)=N[C@@H](Cc1ccccc1)C(O)=N[C@@H](CO)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CCC(=N)O)C(O)=NCCNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]","1","0"
"brenda","124609","5676","L7T720","489","O","1","0"
"brenda","124689","5104","I1TEM1","506","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","124806","4981","P98187","520","CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0"
"brenda","124846","5318","I3PLR0","554","C[C@H]1[C@H](N=C(O)/C(=N\OC(C)(C)C(=O)O)c2csc(=N)[nH]2)C(=O)N1S(=O)(=O)O","1","0"
"brenda","124887","5358","Q07973","514","N=c1[nH]c2ncnc-2c(Cl)[nH]1","1","0"
"brenda","124901","5099","A0A068Q609","526","N[C@@H](Cc1ccc(O)c(Cl)c1)C(=O)O","1","0"
"brenda","125051","5126","Q6ZWL3","525","NC(CS(=O)(=O)O)C(=O)O","1","0"
"brenda","125142","4961","P11371","487","COc1cc(/C=C/C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)ccc1O","1","0"
"brenda","125183","5265","Q8VQF6","404","O","1","0"
"brenda","125279","5105","Q9XHE8","496","CC(O)=N[C@H]1[C@H]2OC[C@@H](O2)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O","1","0"
"brenda","125307","5060","P51542","501","O","1","0"
"brenda","125323","5109","P08684","503","COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2","1","0"
"brenda","125409","5184","Q6WNQ9","501","N=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(O)n1","1","0"
"brenda","125420","5361","O35084","507","O=CC(=O)O","1","0"
"brenda","125511","5666","Q50LH4","495","Cc1ccc(O)c(O)c1","1","0"
"brenda","125525","4959","Q04552","498","Oc1ccc(C[C@@H]2NCCc3cc(O)c(O)cc32)cc1","1","0"
"brenda","125538","5099","A0A068Q609","526","N=C(N)NCCC[C@H](N=C(O)c1ccccc1N)C(O)=N[C@@H](CO)C(O)=N[C@@H](Cc1ccccc1)C(O)=N[C@@H](CCCCN)C(=O)Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]","1","0"
"brenda","125593","5282","Q50EK6","481","C[C@H](CC(=O)O)OC(=O)C[C@@H](C)O","1","0"
"brenda","125667","5099","A0A068Q609","526","N=C(N)NCCCCN","1","0"
"brenda","125704","5358","Q07973","514","CC(O)=N[C@H]1[C@H](Oc2ccc([N+](=O)[O-])cc2)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N=C(C)O)[C@@H]1O","1","0"
"brenda","125717","5673","I3QBP4","488","CCCCCCCCCCCCCC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O","1","0"
"brenda","125835","5119","A0A125QZE2","503","CC(=O)O","1","0"
"brenda","125872","5171","Q59723","406","N=C(N)NCCC[C@H](N=C(O)c1ccccc1N)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O","1","0"
"brenda","125887","5644","O64698","499","O=P(O)(O)OP(=O)(O)O","1","0"
"brenda","126003","5253","Q2MJ20","479","Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)O2)c(=O)nc1O","1","0"
"brenda","126010","5300","Q12664","515","O","1","0"
"brenda","126016","5339","P15150","503","CSCC[C@@H](N)C(=O)O","1","0"
"brenda","126058","5114","A0A0Y0GRS3","494","O=C=O","1","0"
"brenda","126060","5194","Q43067","505","C[C@H](N=C(O)[C@@H](N=C(O)[C@H](CCC(=N)O)N=C(O)[C@@H](N)CCCCN)[C@@H](C)O)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](CCCCN=C(O)CCC(=O)O)C(O)=N[C@@H](CO)C(O)=N[C@H](C(O)=NCC(O)=NCC(O)=N[C@@H](Cc1c[nH]c2ccccc12)C(O)=N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)O","1","0"
"brenda","126106","5073","Q63688","414","O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21","1","0"
"brenda","126141","5725","Q9VUF8","540","Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O","1","0"
"brenda","126292","5114","A0A0Y0GRS3","494","N/C(=C/C=C\C=O)C(=O)O","1","0"
"brenda","126296","5762","C9K1X7","459","COc1ccc(CO)c(OC)c1","1","0"
"brenda","126307","4959","Q04552","498","O=C[C@H](O)COP(=O)(O)O","1","0"
"brenda","126308","5175","A0A0G2RKY1","519","c1ccc(-c2ccccc2)cc1","1","0"
