global_enzyme_id,source,source_enzyme_id,source_uniprot_id,source_p450_symbol,source_species,source_ec_number,source_sequence_hash
ENZ_G000347,S8_PlantP450DB,429,A0A5P8TXJ3,CYP72A694,Vigna angularis,,88eccc268932a4f7b49d3f2f7a4edbfd482db332e8f8b43cc1059c93d9798077
ENZ_G000348,S8_PlantP450DB,421,A0A5P8TXK0,CYP72A557,Medicago truncatula,,f905890107c5e701d65d9f5d8b37658aa46fd7577a1847a71c0546a7fd2e8fa3
ENZ_G000349,S8_PlantP450DB,410,A0A5P8TXK3,CYP72A64v2,Medicago truncatula,,cf8bca44a9d3b847d1245adc3bf7aab5a6c40aff3224c6d0df5ba2512d6459e5
ENZ_G000350,S8_PlantP450DB,430,A0A5P8TXS9,CYP72A697,Lotus japonicus,,f18bdbd94722c30014dc2a1517ca8ffb9d84e317869e9604d0629a23ae5d03f2
ENZ_G000351,S8_PlantP450DB,431,A0A5P8TXT7,CYP72A699,Trifolium pratense,,7146669eb8ac0d43307d9ecb5f82282c6f5a0e4fccb322f8bf767e094ac63c35
ENZ_G000352,S8_PlantP450DB,422,A0A5P8TXX1,CYP72A558,Medicago truncatula,,8ea72de02f100bf5d74daf990135813c011d698c4502bf70df576177942174b8
ENZ_G000353,S8_PlantP450DB,423,A0A5P8TXY6,CYP72A559,Medicago truncatula,,14f76fb3a4d5403d4620fe86bf5f1272f58fcccc888bff2dc48f56f9d5015d3b
ENZ_G000354,S9_PCPD,628,A0A5P8TY60,CYP72A66v2,Medicago truncatula,,4d5b87e8b965e20bb2495796497538f1689bb5ead3c6e8e4c78cbb11891fd401
ENZ_G000355,S8_PlantP450DB,415,A0A5P8TY68,CYP72A141,Glycine max,,acc04c8c3f41c13281a3840f8f2bfe6d3109c2f5dc19e9029b22b29ad76978fc
ENZ_G000356,S2_ESIBank,52,A0A655A8T0,,,1.14.14.154,6fe0a78ece84952c16e9a1491dbaeea746eb822873e7b83578f9df5dac94d502
ENZ_G000357,S1_RCSB,20,A0A657XIU7,,Staphylococcus aureus,,a708e266f1168ee8ac50cf51dcc579906a0ab4b20b26c47b569e19c1fa474587
ENZ_G000358,S2_ESIBank,53,A0A6C0G9L7,,,1.14.14.154,8b51c4ccfff214f98dd67c45ca4f974a6c0f9daf2cae6f5f63c94775df04702f
ENZ_G000359,S8_PlantP450DB,378,A0A6C0G9N0,CYP712K2,Tripterygium wilfordii,,f9a54ca7fb2b428ed1ea2a20ac23e0e4eaa2bac065613c71758d2c2957de937a
ENZ_G000360,S8_PlantP450DB,379,A0A6C0G9N1,CYP712K3,Tripterygium wilfordii,,0c3c3b3c57b9d3bb6241aa8255c7c8fd74661ba8c622f5960bd8c2465761a9ed
ENZ_G000361,S8_PlantP450DB,377,A0A6C0G9Q9,CYP712K1,Tripterygium wilfordii,,e54cba7d4e3df6e2a6912e36ab4958119333f7928a5f9e78d08a77b99914babf
ENZ_G000362,S3_P450Rdb,202,A0A6C0N8B5,CYP11a1,Sebastes schlegelii,1.14.15.6,7a33e1b26d468517f00adb3d3dda111da82ca4cfcd196d6ddc42dfde799e3a08
ENZ_G000363,S8_PlantP450DB,51,A0A6C0PI62,CYP71D349,Catharanthus roseus,,ed4620b918fa636a35f95fc2388ad84152d4f1582c6834bb5f7be3e1d318b31b
ENZ_G000363,S9_PCPD,575,,CYP71D349,Catharanthus roseus,,ed4620b918fa636a35f95fc2388ad84152d4f1582c6834bb5f7be3e1d318b31b
ENZ_G000364,S8_PlantP450DB,522,A0A6G7GFL4,CYP716A155,Rosmarinus officinalis,,ad9b5aaf8392ddb8c8653e732e9b92d072ebcc4bd1669a033a69ef0b27d66bbc
ENZ_G000365,S3_P450Rdb,203,A0A6G7GG58,CYP716A155,Rosmarinus officinalis (Rosemary) (Salvia rosmarinus),/,cb2e7f1675ede7ec7c52b24418f6f2eaaca3ba5356c056b3b69e34c34180acbc
ENZ_G000366,S8_PlantP450DB,117,A0A6H2TWV5,CYP83E47,Phaseolus lunatus,,cc1d428ade27590c6d61b1544d317eabde3e792f125dcf8a0e24dcf1bee04db1
ENZ_G000366,S9_PCPD,760,A0A6H2TWV5,CYP83E47,Phaseolus lunatus,,cc1d428ade27590c6d61b1544d317eabde3e792f125dcf8a0e24dcf1bee04db1
ENZ_G000367,S8_PlantP450DB,256,A0A6H2TX00,CYP79D71,Phaseolus lunatus,,d294745b248918310897698ec1907c8a583b0cf65ac4832eb0256e73d3253ff0
ENZ_G000368,S8_PlantP450DB,116,A0A6H2TXE1,CYP83E46,Phaseolus lunatus,,132bd4cef92c0c798ba4d73d5047857cc7a0ec688be49d938216aeb5b142b08e
ENZ_G000368,S9_PCPD,759,A0A6H2TXE1,CYP83E46,Phaseolus lunatus,,132bd4cef92c0c798ba4d73d5047857cc7a0ec688be49d938216aeb5b142b08e
ENZ_G000369,S8_PlantP450DB,257,A0A6H2TXG8,CYP79D72,Phaseolus lunatus,,ea295aaa34f705e8a29b400557fa97d00942e3688b0e1bb4eaa17527d37ad189
ENZ_G000370,S3_P450Rdb,204,A0A6M3FXR1,CyaH,Actinoalloteichus cyanogriseus,,03b88e718666360b2cd192577a934639f50d88d19f0bc90d74dd023e3bc61117
ENZ_G000371,S2_ESIBank,54,A0A6M3TXH1,,,1.14.14.174,2aeb10b195184152d30210f6955d6a1b11519c21c8efe0843878305d82c21211
ENZ_G000371,S9_PCPD,686,,CYP76B100,Lithospermum erythrorhizon,,2aeb10b195184152d30210f6955d6a1b11519c21c8efe0843878305d82c21211
ENZ_G000372,S9_PCPD,296,A0A6M4EMQ3,CYP690A1,Biscogniauxia sp,,0c59124eec53e5991cffce582c3dc670eb91d3085ce43337ada2ea44a324b7be
ENZ_G000373,S8_PlantP450DB,357,A0A6S4FT50,CYP98A22,Ruta graveolens,,b31b87b42236a3008d9bec21b805fcdaa81c853f249b1700f59df2718c373e51
ENZ_G000374,S2_ESIBank,55,A0A7D3QT71,,,1.14.14.83,3665bd853f2964a7ff3f9ed32cf34ebd5de635489bd8847d377863196ae4e505
ENZ_G000375,S3_P450Rdb,205,A0A7D5Q3W9,CYP71FB1,Gloriosa superba (Glory lily),/,f94c5fff26149d0e7fa9f16f5cdb40112da0298ae6e2b535fa7a85213cafccee
ENZ_G000375,S8_PlantP450DB,111,A0A7D5Q3W9,CYP71FB1,Gloriosa superba,,f94c5fff26149d0e7fa9f16f5cdb40112da0298ae6e2b535fa7a85213cafccee
ENZ_G000376,S8_PlantP450DB,157,A0A7D5QBW0,CYP75A110,Gloriosa superba,,01df13c2126713dc1bf739e070daa34e1c023cbf21f8a7be89ba110aaa8d9ff5
ENZ_G000377,S8_PlantP450DB,156,A0A7D5U6L5,CYP75A109,Gloriosa superba,,ed2e8320adb34a9ee1fc056c11e49889354fc22f3e47c69483f09c9955f49533
ENZ_G000378,S8_PlantP450DB,424,A0A7G8Z808,CYP72A564,Camptotheca acuminata,,45de5a9d20731116372be476697b8a47a14a76a00daa5fecc56a4098e0d2cb4f
ENZ_G000378,S9_PCPD,618,,CYP72A564,Camptotheca acuminata,,45de5a9d20731116372be476697b8a47a14a76a00daa5fecc56a4098e0d2cb4f
ENZ_G000379,S3_P450Rdb,206,A0A7S5UBC9,HbcI,Streptomyces sp.,,4f218cbb8311b148e989158bce8a8e9d29f49f541909453ae38b34b2d07f3441
ENZ_G000380,S8_PlantP450DB,432,A0A7S6UDI5,OeOMES,Olea europaea,,3910264c144cbcd7a7ea13e42f0a1e7355bd6138066ac05921292756e9f28b96
ENZ_G000380,S9_PCPD,633,,CYP72A800,Olea europaea subsp. europaea,,3910264c144cbcd7a7ea13e42f0a1e7355bd6138066ac05921292756e9f28b96
ENZ_G000381,S8_PlantP450DB,433,A0A7S6ZR32,OeSXS,Olea europaea,,3e41bce6b8eef2e8ca28caaf111819766fb0f1b72dc4e69ba9c65445bd55d49f
ENZ_G000381,S9_PCPD,634,,CYP72A801,Olea europaea subsp. europaea,,3e41bce6b8eef2e8ca28caaf111819766fb0f1b72dc4e69ba9c65445bd55d49f
ENZ_G000382,S3_P450Rdb,207,A0A7S9IUH5,CYP154C3,Streptomyces sp.,/,412a168df57fcce3dcbea0031e6d63a1c77d2cd04a3dc4101b09f81d9ccdb945
ENZ_G000382,S9_PCPD,59,A0A7S9IUH5,CYP154C3v2,Streptomyces sp,,412a168df57fcce3dcbea0031e6d63a1c77d2cd04a3dc4101b09f81d9ccdb945
ENZ_G000383,S8_PlantP450DB,495,A0A7T5Y3G4,CACYP707A3,Capsicum annuum,,8b77fd92cd3272c55e03bf445e02f222a54b810f577d34ec404eef9658c95771
ENZ_G000384,S8_PlantP450DB,496,A0A7T6C3T7,CACYP707A4,Capsicum annuum,,228488cdcce1b397666a1a5ce3f5e7d5e50ce54a2f4388cd99eef17c141a7fa3
ENZ_G000385,S3_P450Rdb,208,A0A7T8F1I4,FrzC,Cladobotryum sp,1.14.14.-,33136adb3fb622649a4deb8775bb79a2e51befd4b556c2131d0cea6fc396df9b
ENZ_G000386,S3_P450Rdb,209,A0A7T9QPT0,CYP719A37,Piper nigrum (Black pepper),1.14.19.-,8e1012e59732a62d1b79fc535f7ab3d7de73205c838aab4cefe521844a6ae531
ENZ_G000386,S8_PlantP450DB,393,A0A7T9QPT0,CYP719A37,Piper nigrum,,8e1012e59732a62d1b79fc535f7ab3d7de73205c838aab4cefe521844a6ae531
ENZ_G000386,S9_PCPD,513,,CYP719A37,Piper nigrum,,8e1012e59732a62d1b79fc535f7ab3d7de73205c838aab4cefe521844a6ae531
ENZ_G000387,S3_P450Rdb,210,A0A7U2QZH8,dtpC,Aspergillus flavus,,fbc7bb6df91dff85284ff92e659541e698d6afa244efac00158136289c8df519
ENZ_G000388,S3_P450Rdb,211,A0A861B5L6,AetB,Aetokthonos hydrillicola Thurmond2011,,9feb6113c066799867e873a2ee45eb1b88c054b626fa44616c5996108c59a00a
ENZ_G000389,S8_PlantP450DB,311,A0A8A6L933,LoDSH1,Lithospermum officinale,,a5ce9d9518dfe545e9d1bc3d3ad3d7c5ad31b2b6a0ca22b32e2fcae349daa7fb
ENZ_G000390,S8_PlantP450DB,309,A0A8A6L938,EpDSH2.1,Echium plantagineum,,bfd92fac113bbe695b46868685a509b873e493c905e638e0b66f9005b10cd2e0
ENZ_G000391,S8_PlantP450DB,308,A0A8A6LBM9,EpDSH1,Echium plantagineum,,40cdaaf5efbc0a6576b89e7e640e8dc8c4f166439a16c3a504f6bade74baa887
ENZ_G000392,S3_P450Rdb,212,A0A8A6LE54,DSH2,Arnebia euchroma,,a56dcb6ff90ad37fe9695ab5e2ac9b671c255996e08dc445f187163ff43530e4
ENZ_G000392,S8_PlantP450DB,307,A0A8A6LE54,AeDSH2,Arnebia euchroma,,a56dcb6ff90ad37fe9695ab5e2ac9b671c255996e08dc445f187163ff43530e4
ENZ_G000393,S8_PlantP450DB,310,A0A8A6LFR9,EpDSH2.2,Echium plantagineum,,1f72210206b13f0b9eb186fb60ea7a6c59a6393b89adaac392069ebda6d8a1ec
ENZ_G000394,S3_P450Rdb,213,A0A8A6LLE0,DSH1,Arnebia euchroma,,88af0c273e07efd5f85e264c8087059ac09d4f62cde0c2869a8dd38988703708
ENZ_G000394,S8_PlantP450DB,306,A0A8A6LLE0,AeDSH1,Arnebia euchroma,,88af0c273e07efd5f85e264c8087059ac09d4f62cde0c2869a8dd38988703708
ENZ_G000395,S2_ESIBank,56,A0A8C1NRV4,,,1.14.14.1,724a3b6efcbf94fb7dd399e15a447ae04b86d646f150235e2ad735e0e0b4dcf9
ENZ_G000396,S2_ESIBank,57,A0A8C4ECQ9,,,1.14.14.32,190ff664ac9c564e8ac52cac615f5b2d9e5b5dec0c8d107b170c4358fcf3fd9d
ENZ_G000397,S8_PlantP450DB,222,A0A8E4JDT5,CYP76AH39,Salvia divinorum,,930002445241ee4bff36ca6de067717f80475c24771f1415aca6c3e30a66b38d
ENZ_G000398,S3_P450Rdb,214,A0A8E6Y5Y9,CYP76F112,Ficus carica,,6bb7b9007b6a417575a207284e7a433847a75109e453eed23004d35c6a562f04
ENZ_G000398,S8_PlantP450DB,202,A0A8E6Y5Y9,CYP76F112,Ficus carica,,6bb7b9007b6a417575a207284e7a433847a75109e453eed23004d35c6a562f04
ENZ_G000398,S9_PCPD,694,,CYP76F112,Ficus carica,,6bb7b9007b6a417575a207284e7a433847a75109e453eed23004d35c6a562f04
ENZ_G000399,S3_P450Rdb,215,A0A8F4SN83,atr2,Stereocaulon alpinum (Alpine snow lichen) (Stereocaulon paschale var. alpinum),1.-.-.-,344cfaa4b00d9a44b76768e7398ec35bfc0afed10ea156bb9147eca57b497034
ENZ_G000399,S9_PCPD,173,A0A8F4SN83,CYP60E1,Stereocaulon alpinum,,344cfaa4b00d9a44b76768e7398ec35bfc0afed10ea156bb9147eca57b497034
ENZ_G000400,S3_P450Rdb,216,A0A8F5FCX1,RebP,Streptomyces sp.,,f0edc210989f56061ef30c32e5a6a48aea4fc112a302958490761c8d80db991e
ENZ_G000401,S1_RCSB,21,A0A8I3B027,,Streptomyces sp. NRRL F-5053,,4639697d4e15511bcbe0f9b715f53722aed7511bf6b5899d0d0eacd3f56155be
ENZ_G000402,S1_RCSB,22,A0A8I3B043,,Streptomyces sp. NRRL F-5053,,df273105dd4ab121a6cfecb666d5c7332a29361da392d78f4b6d8f6df327f380
ENZ_G000402,S3_P450Rdb,217,A0A8I3B043,NzeB,Streptomyces sp. NRRL F-5053,,df273105dd4ab121a6cfecb666d5c7332a29361da392d78f4b6d8f6df327f380
ENZ_G000403,S3_P450Rdb,218,A0A8T9JAX0,CYP72A729,Camptotheca acuminata,,a5d3e40758ba17aa339523c45abe0d60828f733e1bf7d13f0f6af6aa40c1cfcc
ENZ_G000404,S3_P450Rdb,219,A0A9E7LUJ4,AS,Alstonia scholaris (Dogbane) (Echites scholaris),1.14.19.-,f8a5be35733d188ee2bee1b5df23d995bfe0c9c4a31237aa6a8988f9038cf055
ENZ_G000405,S3_P450Rdb,220,A0A9E7S4M3,RHS,Alstonia scholaris (Dogbane) (Echites scholaris),1.14.14.187; 1.14.19.80,815740a870ca075595035c0e3f1e67fb80ccbb23822dfe6ab408f010b280617d
ENZ_G000406,S3_P450Rdb,221,A0A9E7S4M4,GO,Alstonia scholaris (Dogbane) (Echites scholaris),1.14.19.80,d3eae0cbb53ce9ef6fc350479b75f6672c3885569ccd784ba7d6639abdda8626
ENZ_G000407,S8_PlantP450DB,285,A0A9E9NIU8,CYP71AN15,Erythroxylum coca,,092ab7738b8bd2b56ba274b0eee7e37d36fe8e78f1304cdf433eb4845d693a68
ENZ_G000408,S8_PlantP450DB,30,A0A9R1GVQ2,CYP71C9v3,Triticum aestivum,,675deef456f64f42d33f6a5fe91b6a563904a6b4d7282d8618bbadb37ffe63f0
ENZ_G000409,S8_PlantP450DB,26,A0A9R1H164,CYP71C8v2,Triticum aestivum,,27b859b9be4ec0b5c0686375e774a5ac7e42f77ac87b308965ff53d363bb11c0
ENZ_G000410,S8_PlantP450DB,27,A0A9R1HR40,CYP71C8v3,Triticum aestivum,,0f38a62c50b9518407f7d1f93aae8d29871fbc39cf2c7f24619b5f292d080af1
ENZ_G000411,S8_PlantP450DB,352,A0A9R1JP37,CYP98A12,Triticum sativum,,aa006db55be81e08ab6fc7b465fe6c454edcb4108761ae8f46ccc2db56aa7096
ENZ_G000412,S8_PlantP450DB,28,A0A9R1K5W7,CYP71C9v1,Triticum aestivum,,eff0f66fc576989b1857c3ae7053b4f713531c6f1e118d245eb1175c3d25ffb2
ENZ_G000413,S8_PlantP450DB,29,A0A9R1KD15,CYP71C9v2,Triticum aestivum,,d49559f615a3660e2ed263fa85960dbc08c9c80a6ac987981cc6f8652c2c40df
ENZ_G000414,S3_P450Rdb,222,A0A9Y1E1K8,CYP82M3,Datura stramonium,,13fe63492a4628ab8455315cee598f4ef02bbc1ea27197aa9210d86b9d4de0da
ENZ_G000415,S3_P450Rdb,223,A0A9Y1LLN2,CYP88A154,Ailanthus altissima (Tree-of-heaven) (Toxicodendron altissimum),1.14.14.-,27ee5dd9e808b2a64f9f1fededf457b1bfb95424a778db8688e4ed1bc8425750
ENZ_G000416,S3_P450Rdb,224,A0AA51VJB7,CYP76AD94,Lophophora williamsii (Peyote) (Echinocactus williamsii),1.14.-.-,cc59859fc141ed1a466ff7c8d0c595373164b54bfb54ba133c45fead91ba46c7
ENZ_G000417,S1_RCSB,23,A0AAJ6N6I0,,Streptomyces torulosus,,1f13255b57eb0c50898fb38a54eea74e21cbf9d02a67caaecc1f09e8ad721255
ENZ_G000418,S3_P450Rdb,225,A0AAW1JA93,CYP716A379,Saponaria officinalis (Common soapwort) (Lychnis saponaria),1.14.14.-; 1.14.14.126,a27906e96c4671d9e4d58120851aefbfda32a7b83248e671ac9d77994264a654
ENZ_G000419,S3_P450Rdb,226,A0AAW1NEA3,CYP716A378,Saponaria officinalis (Common soapwort) (Lychnis saponaria),1.14.14.126,c4bff1f7e639d9ca658ce7a8d1b4bea128f38e1d86d04bfb0390444eed1c9e39
ENZ_G000420,S1_RCSB,24,A0AAX7FLX8,,Amycolatopsis thermoflava N1165,,ed0ebaabf074228c2f4a1f664d28eb6f99866c91f075b01136092a257fb2f572
ENZ_G000421,S8_PlantP450DB,448,A0MAV5,GmAOS1,Glycine max,,1ed61645af8b546434fb5a9766ef65f78dd750a25954fd7ef9a9ab9086b6c624
ENZ_G000422,S8_PlantP450DB,449,A0MAV6,GmAOS2,Glycine max,,174bf5bac092f32f8e0cc6b06cf4c1e09fb69c254b61a5f2bf992fae415887c3
ENZ_G000423,S1_RCSB,25,A0PUV7,,Mycobacterium ulcerans Agy99,,6ab77be744e7a20ed339df4f5f7ab041bb586757e59695d7fb68b3e4eb003f15
ENZ_G000424,S1_RCSB,26,A0R4Q6,,Mycolicibacterium smegmatis MC2 155,,88b334096102aff135b04464de5aa4dfd73255bc79ed645ac218e1e5e1a0d4b1
ENZ_G000424,S3_P450Rdb,227,A0R4Q6,cyp142A2,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis),1.14.15.28,6d63991f9ce563990eb4f0af4aaea43eff910ebd5dfd7119f725070b1115a1ff
ENZ_G000424,S9_PCPD,50,,CYP142A2,Mycobacterium smegmatis,,88b334096102aff135b04464de5aa4dfd73255bc79ed645ac218e1e5e1a0d4b1
ENZ_G000425,S3_P450Rdb,228,A0R4Y3,cyp125A3,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis),1.14.15.29,72e62b7d0c869f6ac5e45aacee8aec8bd958f5f3cd6dadae0fbf8dd0463bfc42
ENZ_G000426,S8_PlantP450DB,540,A0ZS62,CYP724B2,Lycopersicon esculentum,,b256c7aef256b3696a5bc8bcaef60db49801a37e10e2abae0a2c78f8987118d6
ENZ_G000427,S8_PlantP450DB,478,A0ZS63,CYP90B3,Lycopersicon esculentum,,ab80f4f3ba6158074307f70352c0d7f6adf3a757124b2b7aafc16ddc8f308e46
ENZ_G000428,S3_P450Rdb,229,A1BQV1,CYP51H10,Avena strigosa (black oat),/,6f30acf9c9644f246507a7ba65f42cd999541ae8ae7503ec79a51f2539d4c368
ENZ_G000428,S8_PlantP450DB,5,A1BQV1,CYP51H10,Avena strigose,,6f30acf9c9644f246507a7ba65f42cd999541ae8ae7503ec79a51f2539d4c368
ENZ_G000429,S3_P450Rdb,230,A1CFL5,CYP619C3,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),1.-.-.-,1766ce6f68b0c91fc1dc938c8e5fbfce1519a961dadb7bfe4ff0f6c2b3ed34fd
ENZ_G000429,S9_PCPD,189,A1CFL5,CYP619C3,Aspergillus clavatus,,1766ce6f68b0c91fc1dc938c8e5fbfce1519a961dadb7bfe4ff0f6c2b3ed34fd
ENZ_G000430,S3_P450Rdb,231,A1CFL6,CYP619C2,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),1.-.-.-,ac4461cf0ca181f5e4506c43ab84907de8cb19a78e339a4ab72be85a6d045c36
ENZ_G000430,S9_PCPD,186,A1CFL6,CYP619C2,Aspergillus clavatus,,ac4461cf0ca181f5e4506c43ab84907de8cb19a78e339a4ab72be85a6d045c36
ENZ_G000431,S3_P450Rdb,232,A1DN29,NfP450,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus),1.-.-.-,3de78d245f86001cb9b1e5deaa2799556e10c5c0bcbaad440665c5b2ae82850b
ENZ_G000431,S9_PCPD,219,A1DN29,CYP637A1,Aspergillus fischeri,,3de78d245f86001cb9b1e5deaa2799556e10c5c0bcbaad440665c5b2ae82850b
ENZ_G000432,S2_ESIBank,58,A1L3S6,,,1.14.14.23,bd73a002cff151981dfcefbb158f6369560ff89dc297c3745d4e0c3396fde6b7
ENZ_G000433,S2_ESIBank,59,A1XBC6,,,1.14.14.82,183df89c1412d178207a2c3404b8ed0e183807113ccc1d041a15063689a770f6
ENZ_G000434,S8_PlantP450DB,43,A1XEK4,CYP71D51v2,Nicotiana tabacum,,87786e49df0942def8353204c3f51beaa3a9a89df9f427cf7708de3f704c9610
ENZ_G000434,S9_PCPD,584,,CYP71D51v2,Nicotiana tabacum,,87786e49df0942def8353204c3f51beaa3a9a89df9f427cf7708de3f704c9610
ENZ_G000435,S3_P450Rdb,233,A1YJE2,CYP82E3,Nicotiana tomentosiformis (Tobacco),1.14.14.-,a73b37dbe83ca10e2bcb5a5c935130535a84580bdfb54e8dffdd671e5c63f91c
ENZ_G000436,S2_ESIBank,60,A1YJE3,,,1.14.14.B11,c4408afc913117bf054e23098982ca80bb540f332e8ba18794db6e6cff90eca1
ENZ_G000436,S3_P450Rdb,234,A1YJE3,CYP82E4,Nicotiana tomentosiformis (Tobacco),1.14.14.-,c4408afc913117bf054e23098982ca80bb540f332e8ba18794db6e6cff90eca1
ENZ_G000437,S3_P450Rdb,235,A2A974,Cyp4a12b,Mus musculus (Mouse),1.14.14.1,d09a5dcd68f360b62e3080d00a7e7519753fb156e9009cf15139e70397ef455d
ENZ_G000438,S3_P450Rdb,236,A2QBE8,aunB,Aspergillus niger (strain CBS 513.88 / FGSC A1513),1.-.-.-,4f3d2db880ae43eb914c034aab38c80267f1a82bb751bb6eee3434e6b0f2530e
ENZ_G000438,S9_PCPD,223,A2QBE8,CYP637F3,Aspergillus niger,,4f3d2db880ae43eb914c034aab38c80267f1a82bb751bb6eee3434e6b0f2530e
ENZ_G000439,S3_P450Rdb,237,A2QK67,ktnC,Aspergillus niger (strain CBS 513.88 / FGSC A1513),1.14.-.-,6d5c876f2612f0fc72dfd8d9f4321f13434364b30e5aba54bdf5d4bd3079d638
ENZ_G000439,S9_PCPD,277,A2QK67,CYP676C1,Aspergillus niger,,ea3ed05c047d3e0a8df8cc6498b14c828ca0ac2281c26ae6603ba653afc556e4
ENZ_G000440,S3_P450Rdb,238,A2QLV1,CYP505E1,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513),1.14.14.1/1.6.2.4,b1bc45fca3b2094ca26c4f4ff87eac7cca6e1bc9e675fc6b53172ae15b0fbe8b
ENZ_G000440,S9_PCPD,100,A2QLV1,CYP505E1,Aspergillus niger,,b1bc45fca3b2094ca26c4f4ff87eac7cca6e1bc9e675fc6b53172ae15b0fbe8b
ENZ_G000441,S3_P450Rdb,239,A2QTW5,cyp53A1,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513),1.14.14.92,3f718dd7d41eb63e6cba6f09f320b7a7d3c04f20661382b19620052e13413d6b
ENZ_G000442,S3_P450Rdb,240,A2R6G9,otaC,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513),1.14.14.-,9a047ba0b6d6851adc9b0d78bd5069f7ea703de2455833cc35fcd642bc039c6a
ENZ_G000442,S9_PCPD,256,A2R6G9,CYP652O1,Aspergillus niger,,9a047ba0b6d6851adc9b0d78bd5069f7ea703de2455833cc35fcd642bc039c6a
ENZ_G000443,S2_ESIBank,61,A2RRT9,,,1.14.14.80,31631c0c4b8bb3fb689ba2c2c3fbaa3bf6266682dff3b843121e24475ca19fa9
ENZ_G000444,S2_ESIBank,62,A2TEF2,,,1.14.14.154,d540cb1ef35fd300bed61dcc61bd4ed4842785f28d9e25c177ab23affa0731c3
ENZ_G000445,S8_PlantP450DB,406,A2WS96,CYP72A31,Oryza sativa,,b51aaf1a3e2ca18d9ae0ed6a308ff3cb6ec3e5d010abe93a8f5b35e414e64147
ENZ_G000446,S9_PCPD,457,A2Z212,CYP707A7,Oryza sativa,,4778656d26ece3e5934d04861ae9d4004cdbccd2e6737969fe14f723c68aed16
ENZ_G000447,S3_P450Rdb,241,A3A871,CYP71Z6,Oryza sativa subsp. japonica (Rice),1.14.14.76,bba3bc7fc7370b4042c46518906959ee7c1470d79c2b4927257d01583be7e6c0
ENZ_G000447,S8_PlantP450DB,61,A3A871,CYP71Z6,Oryza sativa,,bba3bc7fc7370b4042c46518906959ee7c1470d79c2b4927257d01583be7e6c0
ENZ_G000447,S9_PCPD,596,,CYP71Z6,Oryza sativa,,bba3bc7fc7370b4042c46518906959ee7c1470d79c2b4927257d01583be7e6c0
ENZ_G000448,S2_ESIBank,63,A3KLR7,,,1.14.14.81,363d0db3e11578b608c9ed61db8f1e6b2a03b11fd39370e8bddc76cac6f3ceeb
ENZ_G000449,S3_P450Rdb,242,A5BFI4,CYP716A17,Vitis vinifera (Grape),1.14.14.126,fe65d7e35130d44b284a5b322f5bb7f774f180dbaec528d394ef64ea5bb96547
ENZ_G000449,S8_PlantP450DB,503,A5BFI4,CYP716A17,Vitis vinifera,,fe65d7e35130d44b284a5b322f5bb7f774f180dbaec528d394ef64ea5bb96547
ENZ_G000449,S9_PCPD,477,A5BFI4,CYP716A17,Vitis vinifera,,fe65d7e35130d44b284a5b322f5bb7f774f180dbaec528d394ef64ea5bb96547
ENZ_G000450,S2_ESIBank,64,A5LGW8,,,1.14.14.87,7d17ece47a1a8a8c2316a28b76e5b1bc99cb32c93647392c3eb5c2033579e06e
ENZ_G000451,S2_ESIBank,65,A6YIH8,,,1.14.14.151,756150f48b7f4cb2fc01f3e4bb0076a2fd0c060347eb3b55d5642481f437d91a
ENZ_G000451,S3_P450Rdb,243,A6YIH8,CYP71D55,Hyoscyamus muticus (Egyptian henbane),1.14.14.151,756150f48b7f4cb2fc01f3e4bb0076a2fd0c060347eb3b55d5642481f437d91a
ENZ_G000451,S8_PlantP450DB,44,A6YIH8,CYP71D55,Hyoscyamus muticus,,756150f48b7f4cb2fc01f3e4bb0076a2fd0c060347eb3b55d5642481f437d91a
ENZ_G000452,S3_P450Rdb,244,A7HP72,P450PL2-4,Parvibaculum lavamentivorans,,0a89ca36852a659f24f9178a7968d0ce188209230c4352f31cf9e0e47db7799e
ENZ_G000453,S2_ESIBank,66,A7KMF3,,,1.14.14.B11,cbc8652ed29fcd1a30c5a44fda42df5eec5c04f83e36fdd7d4bd5d72aafb3ae7
ENZ_G000454,S1_RCSB,27,A7U483,,Danio rerio,,d8dc4d1b369f89332d9bc574d455518aa19e80ada9e8a7cf690a9051bee2225e
ENZ_G000455,S2_ESIBank,67,A7XY79,,,4.2.1.92,b6361f472b8443e5106b45b48ffc174c62d616899ebef9fbbd2b367aed1a21dc
ENZ_G000456,S9_PCPD,235,A8C7R4,CYP648B1,Claviceps fusiformis,,891c1fe434b1d6fbe572b65595c41cf5f1b6c60389da1278e0e2251d203bf88d
