global_enzyme_id,canonical_uniprot_id,source_category,structure_source,status,has_heme,alphafill_id,template_pdb,sequence_identity,global_rmsd,local_rmsd,clash_score,alphafill_json_path,alphafill_cif_path,existing_pdb_path,needs_colabfold,notes,alphafold_pdb_path,heme_transplant_pdb_path,heme_fe_x,heme_fe_y,heme_fe_z,aligned_ca_count,quality_tier,template_source
ENZ_G000382,A0A7S9IUH5,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A7S9IUH5-F1,ENZ_G001098,0.6601,4.32,,,,,,0,"tier3, rmsd=4.32, identity=0.660, n_ca=406",data\structures\alphafold\pdb\AF-A0A7S9IUH5-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7S9IUH5-F1_heme.pdb,5.907,-3.613,1.369,406,tier3,experimental_pdb
ENZ_G000383,A0A7T5Y3G4,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A7T5Y3G4-F1,ENZ_G001304,0.7241,2.60,,,,,,0,"tier2, rmsd=2.60, identity=0.724, n_ca=435",data\structures\alphafold\pdb\AF-A0A7T5Y3G4-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7T5Y3G4-F1_heme.pdb,-2.829,-2.532,-3.157,435,tier2,pcpd_pdb
ENZ_G000384,A0A7T6C3T7,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A7T6C3T7-F1,ENZ_G000701,0.8894,2.44,,,,,,0,"tier2, rmsd=2.44, identity=0.889, n_ca=434",data\structures\alphafold\pdb\AF-A0A7T6C3T7-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7T6C3T7-F1_heme.pdb,3.675,-3.472,1.783,434,tier2,pcpd_pdb
ENZ_G000385,A0A7T8F1I4,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A7T8F1I4-F1,ENZ_G000551,0.3264,3.44,,,,,,0,"tier3, rmsd=3.44, identity=0.326, n_ca=484",data\structures\alphafold\pdb\AF-A0A7T8F1I4-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7T8F1I4-F1_heme.pdb,4.291,-6.061,1.329,484,tier3,alphafill_cif
ENZ_G000386,A0A7T9QPT0,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP719A37.pdb,0,,,,,,,,,
ENZ_G000387,A0A7U2QZH8,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A7U2QZH8-F1,ENZ_G000093,0.2686,4.33,,,,,,0,"tier3, rmsd=4.33, identity=0.269, n_ca=525",data\structures\alphafold\pdb\AF-A0A7U2QZH8-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7U2QZH8-F1_heme.pdb,-3.601,3.714,-2.714,525,tier3,alphafill_cif
ENZ_G000388,A0A861B5L6,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A861B5L6-F1,ENZ_G001142,0.3067,2.71,,,,,,0,"tier2, rmsd=2.71, identity=0.307, n_ca=463",data\structures\alphafold\pdb\AF-A0A861B5L6-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A861B5L6-F1_heme.pdb,3.167,-3.273,-1.222,463,tier2,pcpd_pdb
ENZ_G000389,A0A8A6L933,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8A6L933-F1,ENZ_G001484,0.4427,3.33,,,,,,0,"tier3, rmsd=3.33, identity=0.443, n_ca=454",data\structures\alphafold\pdb\AF-A0A8A6L933-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6L933-F1_heme.pdb,0.707,-5.815,1.220,454,tier3,pcpd_pdb
ENZ_G000390,A0A8A6L938,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8A6L938-F1,ENZ_G001609,0.4895,2.81,,,,,,0,"tier2, rmsd=2.81, identity=0.490, n_ca=478",data\structures\alphafold\pdb\AF-A0A8A6L938-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6L938-F1_heme.pdb,2.670,-3.198,1.830,478,tier2,pcpd_pdb
ENZ_G000391,A0A8A6LBM9,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8A6LBM9-F1,ENZ_G001484,0.4317,3.27,,,,,,0,"tier3, rmsd=3.27, identity=0.432, n_ca=454",data\structures\alphafold\pdb\AF-A0A8A6LBM9-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6LBM9-F1_heme.pdb,1.509,-5.389,2.142,454,tier3,pcpd_pdb
ENZ_G000392,A0A8A6LE54,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8A6LE54-F1,ENZ_G001484,0.4824,2.47,,,,,,0,"tier2, rmsd=2.47, identity=0.482, n_ca=454",data\structures\alphafold\pdb\AF-A0A8A6LE54-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6LE54-F1_heme.pdb,2.723,-4.929,1.882,454,tier2,pcpd_pdb
ENZ_G000393,A0A8A6LFR9,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8A6LFR9-F1,ENZ_G001609,0.4895,2.86,,,,,,0,"tier2, rmsd=2.86, identity=0.490, n_ca=478",data\structures\alphafold\pdb\AF-A0A8A6LFR9-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6LFR9-F1_heme.pdb,2.966,-2.926,1.998,478,tier2,pcpd_pdb
ENZ_G000394,A0A8A6LLE0,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8A6LLE0-F1,ENZ_G001609,0.4549,3.21,,,,,,0,"tier3, rmsd=3.21, identity=0.455, n_ca=477",data\structures\alphafold\pdb\AF-A0A8A6LLE0-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6LLE0-F1_heme.pdb,1.801,-4.272,1.605,477,tier3,pcpd_pdb
ENZ_G000395,A0A8C1NRV4,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8C1NRV4-F1,ENZ_G000781,0.5821,3.78,,,,,,0,"tier3, rmsd=3.78, identity=0.582, n_ca=524",data\structures\alphafold\pdb\AF-A0A8C1NRV4-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8C1NRV4-F1_heme.pdb,-1.779,4.981,-0.540,524,tier3,alphafill_cif
ENZ_G000396,A0A8C4ECQ9,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8C4ECQ9-F1,ENZ_G000873,0.8296,2.27,,,,,,0,"tier2, rmsd=2.27, identity=0.830, n_ca=487",data\structures\alphafold\pdb\AF-A0A8C4ECQ9-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8C4ECQ9-F1_heme.pdb,2.793,-4.069,1.160,487,tier2,alphafill_cif
ENZ_G000397,A0A8E4JDT5,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8E4JDT5-F1,ENZ_G000100,0.7815,0.53,,,,,,0,"tier1, rmsd=0.53, identity=0.781, n_ca=453",data\structures\alphafold\pdb\AF-A0A8E4JDT5-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8E4JDT5-F1_heme.pdb,2.926,-0.819,2.379,453,tier1,alphafill_cif
ENZ_G000398,A0A8E6Y5Y9,pcpd_predicted,pcpd_predicted,pcpd_predicted,1,,,,,,,,,pcpd/CYP76F112.pdb,0,,,,,,,,,
ENZ_G000399,A0A8F4SN83,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8F4SN83-F1,ENZ_G000977,0.3988,2.91,,,,,,0,"tier2, rmsd=2.91, identity=0.399, n_ca=489",data\structures\alphafold\pdb\AF-A0A8F4SN83-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8F4SN83-F1_heme.pdb,3.035,-1.200,3.421,489,tier2,alphafill_cif
ENZ_G000400,A0A8F5FCX1,alphafill_candidate,alphafold_heme_transplant,heme_transplant_failed,0,A0A8F5FCX1-F1,ENZ_G000854,0.205,15.76,,,,,,0,All 10 templates gave tier4; best rmsd=5.14,data\structures\alphafold\pdb\AF-A0A8F5FCX1-F1.pdb,data\structures\heme_transplant\pdb\ENZ_G000400_heme.pdb,6.054,-3.185,-0.809,,,
ENZ_G000401,A0A8I3B027,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/6VXV,0,,,,,,,,,
ENZ_G000402,A0A8I3B043,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/6XAL,0,,,,,,,,,
ENZ_G000403,A0A8T9JAX0,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A8T9JAX0-F1,ENZ_G001423,0.6795,1.70,,,,,,0,"tier1, rmsd=1.70, identity=0.680, n_ca=518",data\structures\alphafold\pdb\AF-A0A8T9JAX0-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8T9JAX0-F1_heme.pdb,2.361,-0.146,3.437,518,tier1,alphafill_cif
ENZ_G000404,A0A9E7LUJ4,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9E7LUJ4-F1,ENZ_G001500,0.5944,2.77,,,,,,0,"tier2, rmsd=2.77, identity=0.594, n_ca=466",data\structures\alphafold\pdb\AF-A0A9E7LUJ4-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9E7LUJ4-F1_heme.pdb,3.023,-5.033,0.770,466,tier2,pcpd_pdb
ENZ_G000405,A0A9E7S4M3,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9E7S4M3-F1,ENZ_G000801,0.5828,2.48,,,,,,0,"tier2, rmsd=2.48, identity=0.583, n_ca=465",data\structures\alphafold\pdb\AF-A0A9E7S4M3-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9E7S4M3-F1_heme.pdb,-1.331,-2.341,-0.654,465,tier2,pcpd_pdb
ENZ_G000406,A0A9E7S4M4,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9E7S4M4-F1,ENZ_G000801,0.5437,2.50,,,,,,0,"tier2, rmsd=2.50, identity=0.544, n_ca=469",data\structures\alphafold\pdb\AF-A0A9E7S4M4-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9E7S4M4-F1_heme.pdb,4.634,-1.885,2.386,469,tier2,pcpd_pdb
ENZ_G000407,A0A9E9NIU8,alphafill_candidate,alphafill,alphafill_not_found,0,A0A9E9NIU8-F1,,,,,,,,,0,AlphaFold download: alphafold_not_found,,,,,,,,
ENZ_G000408,A0A9R1GVQ2,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9R1GVQ2-F1,ENZ_G001044,0.8162,1.85,,,,,,0,"tier1, rmsd=1.85, identity=0.816, n_ca=468",data\structures\alphafold\pdb\AF-A0A9R1GVQ2-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9R1GVQ2-F1_heme.pdb,3.839,1.649,2.072,468,tier1,pcpd_pdb
ENZ_G000409,A0A9R1H164,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9R1H164-F1,ENZ_G001066,0.9726,1.36,,,,,,0,"tier1, rmsd=1.36, identity=0.973, n_ca=475",data\structures\alphafold\pdb\AF-A0A9R1H164-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9R1H164-F1_heme.pdb,4.896,-0.422,0.942,475,tier1,pcpd_pdb
ENZ_G000410,A0A9R1HR40,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9R1HR40-F1,ENZ_G001066,0.9789,1.34,,,,,,0,"tier1, rmsd=1.34, identity=0.979, n_ca=475",data\structures\alphafold\pdb\AF-A0A9R1HR40-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9R1HR40-F1_heme.pdb,5.026,-0.622,1.109,475,tier1,pcpd_pdb
ENZ_G000411,A0A9R1JP37,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9R1JP37-F1,ENZ_G000733,0.7008,1.69,,,,,,0,"tier1, rmsd=1.69, identity=0.701, n_ca=478",data\structures\alphafold\pdb\AF-A0A9R1JP37-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9R1JP37-F1_heme.pdb,4.844,-1.463,1.887,478,tier1,pcpd_pdb
ENZ_G000412,A0A9R1K5W7,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9R1K5W7-F1,ENZ_G001044,0.8184,1.89,,,,,,0,"tier1, rmsd=1.89, identity=0.818, n_ca=468",data\structures\alphafold\pdb\AF-A0A9R1K5W7-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9R1K5W7-F1_heme.pdb,4.116,1.045,2.028,468,tier1,pcpd_pdb
ENZ_G000413,A0A9R1KD15,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9R1KD15-F1,ENZ_G001044,0.8141,1.88,,,,,,0,"tier1, rmsd=1.88, identity=0.814, n_ca=468",data\structures\alphafold\pdb\AF-A0A9R1KD15-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9R1KD15-F1_heme.pdb,3.557,2.284,2.060,468,tier1,pcpd_pdb
ENZ_G000414,A0A9Y1E1K8,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9Y1E1K8-F1,ENZ_G000221,0.5235,4.70,,,,,,0,"tier3, rmsd=4.70, identity=0.523, n_ca=447",data\structures\alphafold\pdb\AF-A0A9Y1E1K8-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9Y1E1K8-F1_heme.pdb,3.147,-2.383,0.604,447,tier3,pcpd_pdb
ENZ_G000415,A0A9Y1LLN2,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0A9Y1LLN2-F1,ENZ_G000653,0.5461,2.03,,,,,,0,"tier2, rmsd=2.03, identity=0.546, n_ca=445",data\structures\alphafold\pdb\AF-A0A9Y1LLN2-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9Y1LLN2-F1_heme.pdb,6.176,0.878,4.556,445,tier2,pcpd_pdb
ENZ_G000416,A0AA51VJB7,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0AA51VJB7-F1,ENZ_G000681,0.7909,1.68,,,,,,0,"tier1, rmsd=1.68, identity=0.791, n_ca=464",data\structures\alphafold\pdb\AF-A0AA51VJB7-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0AA51VJB7-F1_heme.pdb,-8.382,4.858,-5.169,464,tier1,pcpd_pdb
ENZ_G000417,A0AAJ6N6I0,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/8JNQ,0,,,,,,,,,
ENZ_G000418,A0AAW1JA93,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0AAW1JA93-F1,ENZ_G000149,0.5876,2.40,,,,,,0,"tier2, rmsd=2.40, identity=0.588, n_ca=451",data\structures\alphafold\pdb\AF-A0AAW1JA93-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0AAW1JA93-F1_heme.pdb,3.781,5.552,1.562,451,tier2,pcpd_pdb
ENZ_G000419,A0AAW1NEA3,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0AAW1NEA3-F1,ENZ_G000149,0.8071,1.98,,,,,,0,"tier1, rmsd=1.98, identity=0.807, n_ca=451",data\structures\alphafold\pdb\AF-A0AAW1NEA3-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0AAW1NEA3-F1_heme.pdb,0.018,0.952,-0.665,451,tier1,pcpd_pdb
ENZ_G000420,A0AAX7FLX8,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/8U1I,0,,,,,,,,,
ENZ_G000421,A0MAV5,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0MAV5-F1,ENZ_G001035,0.6366,0.90,,,,,,0,"tier1, rmsd=0.90, identity=0.637, n_ca=465",data\structures\alphafold\pdb\AF-A0MAV5-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0MAV5-F1_heme.pdb,-0.351,5.387,-0.356,465,tier1,experimental_pdb
ENZ_G000422,A0MAV6,alphafill_candidate,alphafill,downloaded_with_heme,1,A0MAV6-F1,2RCH,0.661885,0.5615,0.227666,0.128913,data\structures\alphafill\json\A0MAV6-F1.json,data\structures\alphafill\cif\A0MAV6-F1.cif,,0,,,,,,,,,
ENZ_G000423,A0PUV7,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/7SH5,0,,,,,,,,,
ENZ_G000424,A0R4Q6,experimental_pdb,experimental_pdb,experimental_pdb,1,,,,,,,,,s1_rcsb/2YOO,0,,,,,,,,,
ENZ_G000425,A0R4Y3,alphafill_candidate,alphafill,downloaded_with_heme,1,A0R4Y3-F1,4APY,1,1.14345,0.294043,0.148692,data\structures\alphafill\json\A0R4Y3-F1.json,data\structures\alphafill\cif\A0R4Y3-F1.cif,,0,,,,,,,,,
ENZ_G000426,A0ZS62,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0ZS62-F1,ENZ_G001120,0.6311,3.12,,,,,,0,"tier3, rmsd=3.12, identity=0.631, n_ca=469",data\structures\alphafold\pdb\AF-A0ZS62-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0ZS62-F1_heme.pdb,3.169,-0.532,3.191,469,tier3,alphafill_cif
ENZ_G000427,A0ZS63,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A0ZS63-F1,ENZ_G001548,0.9978,3.54,,,,,,0,"tier3, rmsd=3.54, identity=0.998, n_ca=460",data\structures\alphafold\pdb\AF-A0ZS63-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0ZS63-F1_heme.pdb,5.140,0.050,2.326,460,tier3,pcpd_pdb
ENZ_G000428,A1BQV1,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A1BQV1-F1,ENZ_G000909,0.4735,2.26,,,,,,0,"tier2, rmsd=2.26, identity=0.473, n_ca=452",data\structures\alphafold\pdb\AF-A1BQV1-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A1BQV1-F1_heme.pdb,2.725,0.568,1.029,452,tier2,alphafill_cif
ENZ_G000429,A1CFL5,alphafill_candidate,alphafill,downloaded_with_heme,1,A1CFL5-F1,4GQS,0.323232,2.40141,2.17311,0.750573,data\structures\alphafill\json\A1CFL5-F1.json,data\structures\alphafill\cif\A1CFL5-F1.cif,,0,,,,,,,,,
ENZ_G000430,A1CFL6,alphafill_candidate,alphafill,downloaded_with_heme,1,A1CFL6-F1,1PQ2,0.313131,1.94889,0.681963,0.823504,data\structures\alphafill\json\A1CFL6-F1.json,data\structures\alphafill\cif\A1CFL6-F1.cif,,0,,,,,,,,,
ENZ_G000431,A1DN29,alphafill_candidate,alphafold_heme_transplant,heme_transplant_failed,0,A1DN29-F1,ENZ_G000757,0.147,25.87,,,,,,0,All 10 templates gave tier4; best rmsd=5.73,data\structures\alphafold\pdb\AF-A1DN29-F1.pdb,data\structures\heme_transplant\pdb\ENZ_G000431_heme.pdb,7.939,4.820,-2.206,,,
ENZ_G000432,A1L3S6,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A1L3S6-F1,ENZ_G000852,0.9304,0.85,,,,,,0,"tier1, rmsd=0.85, identity=0.930, n_ca=503",data\structures\alphafold\pdb\AF-A1L3S6-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A1L3S6-F1_heme.pdb,2.610,2.670,1.988,503,tier1,alphafill_cif
ENZ_G000433,A1XBC6,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A1XBC6-F1,ENZ_G001340,0.8959,1.81,,,,,,0,"tier1, rmsd=1.81, identity=0.896, n_ca=509",data\structures\alphafold\pdb\AF-A1XBC6-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A1XBC6-F1_heme.pdb,3.536,0.251,2.694,509,tier1,alphafill_cif
ENZ_G000434,A1XEK4,alphafill_candidate,alphafill,downloaded_with_heme,1,A1XEK4-F1,5YLW,0.317697,2.61832,0.918029,0.154007,data\structures\alphafill\json\A1XEK4-F1.json,data\structures\alphafill\cif\A1XEK4-F1.cif,,0,,,,,,,,,
ENZ_G000435,A1YJE2,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A1YJE2-F1,ENZ_G000719,0.4750,3.23,,,,,,0,"tier3, rmsd=3.23, identity=0.475, n_ca=480",data\structures\alphafold\pdb\AF-A1YJE2-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A1YJE2-F1_heme.pdb,3.476,3.407,2.659,480,tier3,pcpd_pdb
ENZ_G000436,A1YJE3,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A1YJE3-F1,ENZ_G000719,0.4688,3.25,,,,,,0,"tier3, rmsd=3.25, identity=0.469, n_ca=480",data\structures\alphafold\pdb\AF-A1YJE3-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A1YJE3-F1_heme.pdb,3.730,2.637,2.877,480,tier3,pcpd_pdb
ENZ_G000437,A2A974,alphafill_candidate,alphafill,downloaded_with_heme,1,A2A974-F1,5T6Q,0.498938,1.72517,0.417248,0.199899,data\structures\alphafill\json\A2A974-F1.json,data\structures\alphafill\cif\A2A974-F1.cif,,0,,,,,,,,,
ENZ_G000438,A2QBE8,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A2QBE8-F1,ENZ_G000647,1.0000,1.27,1.66965,0.531705,data\structures\alphafill\json\A2QBE8-F1.json,data\structures\alphafill\cif\A2QBE8-F1.cif,,0,"tier1, rmsd=1.27, identity=1.000, n_ca=159",,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A2QBE8-F1_heme.pdb,7.661,4.932,2.859,159,tier1,alphafill_cif
ENZ_G000439,A2QK67,alphafill_candidate,alphafill,downloaded_with_heme,1,A2QK67-F1,2IAG,0.32,2.68027,1.14405,0.708478,data\structures\alphafill\json\A2QK67-F1.json,data\structures\alphafill\cif\A2QK67-F1.cif,,0,,,,,,,,,
ENZ_G000440,A2QLV1,alphafill_candidate,alphafold_heme_transplant_v2,heme_transplanted,1,A2QLV1-F1,ENZ_G000644,0.4989,4.08,,,,,,0,"tier3, rmsd=4.08, identity=0.499, n_ca=455",data\structures\alphafold\pdb\AF-A2QLV1-F1.pdb,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A2QLV1-F1_heme.pdb,-11.787,4.533,10.193,455,tier3,experimental_pdb
