enzyme_index,enzyme_input_id,global_enzyme_id,canonical_uniprot_id,receptor_status,enzyme_batch,has_heme,quality_tier,existing_pdb_path,alphafill_cif_path,heme_transplant_pdb_path,alphafold_pdb_path,heme_fe_x,heme_fe_y,heme_fe_z
323,A0A4P8ULL7,ENZ_G000324,A0A4P8ULL7,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A4P8ULL7-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A4P8ULL7-F1.pdb,4.545,-1.328,3.116
324,A0A4X1UJZ0,ENZ_G000325,A0A4X1UJZ0,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A4X1UJZ0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A4X1UJZ0-F1.pdb,3.72,-0.581,4.107
325,A0A4Y5UJ61,ENZ_G000326,A0A4Y5UJ61,pcpd_predicted,batch_1,1,,pcpd/CYP72A565.pdb,,,,56.228,-6.676,10.512
326,A0A4Y5UJ78,ENZ_G000327,A0A4Y5UJ78,pcpd_predicted,batch_1,1,,pcpd/CYP72A610.pdb,,,,56.703,-7.56,9.749
327,A0A516F411,ENZ_G000328,A0A516F411,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A516F411-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A516F411-F1.pdb,1.686,-0.496,4.796
328,A0A517FNB9,ENZ_G000329,A0A517FNB9,pcpd_predicted,batch_1,1,,pcpd/CYP90B52.pdb,,,,55.989,-7.211,11.901
329,A0A517FNC4,ENZ_G000330,A0A517FNC4,heme_transplanted,batch_1,1,tier2,,data\structures\alphafill\cif\A0A517FNC4-F1.cif,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A517FNC4-F1_heme.pdb,,1.667,2.73,5.194
330,A0A517FNC5,ENZ_G000331,A0A517FNC5,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A517FNC5-F1.cif,,,-3.72,-4.381,-0.06
331,A0A517FNC6,ENZ_G000332,A0A517FNC6,pcpd_predicted,batch_1,1,,pcpd/CYP90B51.pdb,,,,56.136,-7.251,11.255
332,A0A517FNC7,ENZ_G000333,A0A517FNC7,pcpd_predicted,batch_1,1,,pcpd/CYP94D108.pdb,,,,56.06,-7.05,12.328
333,A0A517FNC9,ENZ_G000334,A0A517FNC9,heme_transplanted,batch_1,1,tier2,,data\structures\alphafill\cif\A0A517FNC9-F1.cif,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A517FNC9-F1_heme.pdb,,3.435,-2.167,5.005
334,A0A517FND0,ENZ_G000335,A0A517FND0,pcpd_predicted,batch_1,1,,pcpd/CYP94D109.pdb,,,,55.916,-7.682,12.831
335,A0A517FND1,ENZ_G000336,A0A517FND1,heme_transplanted,batch_1,1,tier1,,data\structures\alphafill\cif\A0A517FND1-F1.cif,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A517FND1-F1_heme.pdb,,4.021,-0.229,-0.181
336,A0A517FND3,ENZ_G000337,A0A517FND3,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A517FND3-F1.cif,,,3.596,-2.348,2.745
337,A0A5A4DV62,ENZ_G000338,A0A5A4DV62,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A5A4DV62-F1.cif,,,4.17,-4.014,1.911
338,A0A5A4U5E1,ENZ_G000339,A0A5A4U5E1,downloaded_with_heme,batch_1,1,,,data\structures\alphafill\cif\A0A5A4U5E1-F1.cif,,,3.122,-0.101,3.728
339,A0A5B8H9L8,ENZ_G000340,A0A5B8H9L8,pcpd_predicted,batch_1,1,,pcpd/CYP712K4.pdb,,,,56.008,-6.073,12.296
340,A0A5B8NBK9,ENZ_G000341,A0A5B8NBK9,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5B8NBK9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5B8NBK9-F1.pdb,2.574,-4.246,-1.524
341,A0A5B8ND22,ENZ_G000342,A0A5B8ND22,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5B8ND22-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5B8ND22-F1.pdb,6.335,0.067,4.66
342,A0A5B8ND26,ENZ_G000343,A0A5B8ND26,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5B8ND26-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5B8ND26-F1.pdb,0.981,2.008,5.856
343,A0A5B8NEF2,ENZ_G000344,A0A5B8NEF2,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5B8NEF2-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5B8NEF2-F1.pdb,1.57,-5.214,0.147
344,A0A5B8ZRC1,ENZ_G000345,A0A5B8ZRC1,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5B8ZRC1-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5B8ZRC1-F1.pdb,1.69,-3.452,3.075
345,A0A5P2W9N6,ENZ_G000346,A0A5P2W9N6,experimental_pdb,batch_1,1,,s1_rcsb/8FZ8,,,,6.733,6.07,4.991
346,A0A5P8TXJ3,ENZ_G000347,A0A5P8TXJ3,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5P8TXJ3-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5P8TXJ3-F1.pdb,2.791,0.271,3.403
347,A0A5P8TXK0,ENZ_G000348,A0A5P8TXK0,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5P8TXK0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5P8TXK0-F1.pdb,4.13,-0.87,4.76
348,A0A5P8TXK3,ENZ_G000349,A0A5P8TXK3,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5P8TXK3-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5P8TXK3-F1.pdb,2.553,-0.453,1.659
349,A0A5P8TXS9,ENZ_G000350,A0A5P8TXS9,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5P8TXS9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5P8TXS9-F1.pdb,3.568,0.479,2.907
350,A0A5P8TXT7,ENZ_G000351,A0A5P8TXT7,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5P8TXT7-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5P8TXT7-F1.pdb,2.081,-1.047,1.841
351,A0A5P8TXX1,ENZ_G000352,A0A5P8TXX1,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5P8TXX1-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5P8TXX1-F1.pdb,4.639,-0.531,4.351
352,A0A5P8TXY6,ENZ_G000353,A0A5P8TXY6,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5P8TXY6-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5P8TXY6-F1.pdb,4.172,0.243,4.833
353,A0A5P8TY60,ENZ_G000354,A0A5P8TY60,pcpd_predicted,batch_1,1,,pcpd/CYP72A66v2.pdb,,,,56.039,-6.772,12.219
354,A0A5P8TY68,ENZ_G000355,A0A5P8TY68,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A5P8TY68-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A5P8TY68-F1.pdb,3.638,1.191,3.488
355,A0A655A8T0,ENZ_G000356,A0A655A8T0,heme_transplant_failed,batch_2,0,,,,data\structures\heme_transplant\pdb\ENZ_G000356_heme.pdb,data\structures\alphafold\pdb\AF-A0A655A8T0-F1.pdb,3.682,-1.434,2.645
356,A0A657XIU7,ENZ_G000357,A0A657XIU7,experimental_pdb,batch_1,1,,s1_rcsb/9RXH,,,,-42.588,26.425,9.578
357,A0A6C0G9L7,ENZ_G000358,A0A6C0G9L7,alphafill_not_found,batch_2,0,,,,,,0.255,3.968,2.506
358,A0A6C0G9N0,ENZ_G000359,A0A6C0G9N0,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6C0G9N0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6C0G9N0-F1.pdb,5.885,-2.555,2.283
359,A0A6C0G9N1,ENZ_G000360,A0A6C0G9N1,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6C0G9N1-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6C0G9N1-F1.pdb,3.848,-4.904,1.546
360,A0A6C0G9Q9,ENZ_G000361,A0A6C0G9Q9,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6C0G9Q9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6C0G9Q9-F1.pdb,4.878,-1.376,2.797
361,A0A6C0N8B5,ENZ_G000362,A0A6C0N8B5,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6C0N8B5-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6C0N8B5-F1.pdb,12.556,10.813,57.023
362,A0A6C0PI62,ENZ_G000363,A0A6C0PI62,pcpd_predicted,batch_1,1,,pcpd/CYP71D349.pdb,,,,56.125,-7.291,11.34
363,A0A6G7GFL4,ENZ_G000364,A0A6G7GFL4,heme_transplant_failed,batch_2,0,,,,data\structures\heme_transplant\pdb\ENZ_G000364_heme.pdb,data\structures\alphafold\pdb\AF-A0A6G7GFL4-F1.pdb,15.182,-3.264,8.619
364,A0A6G7GG58,ENZ_G000365,A0A6G7GG58,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6G7GG58-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6G7GG58-F1.pdb,2.504,3.998,0.372
365,A0A6H2TWV5,ENZ_G000366,A0A6H2TWV5,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6H2TWV5-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6H2TWV5-F1.pdb,3.643,-1.954,3.1
366,A0A6H2TX00,ENZ_G000367,A0A6H2TX00,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6H2TX00-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6H2TX00-F1.pdb,-6.184,1.767,-1.632
367,A0A6H2TXE1,ENZ_G000368,A0A6H2TXE1,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6H2TXE1-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6H2TXE1-F1.pdb,3.415,-3.189,2.591
368,A0A6H2TXG8,ENZ_G000369,A0A6H2TXG8,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6H2TXG8-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6H2TXG8-F1.pdb,-2.983,-2.691,1.923
369,A0A6M3FXR1,ENZ_G000370,A0A6M3FXR1,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A6M3FXR1-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A6M3FXR1-F1.pdb,-12.856,2.694,-48.759
370,A0A6M3TXH1,ENZ_G000371,A0A6M3TXH1,pcpd_predicted,batch_1,1,,pcpd/CYP76B100.pdb,,,,55.801,-6.395,11.569
371,A0A6M4EMQ3,ENZ_G000372,A0A6M4EMQ3,heme_transplant_failed,batch_2,0,,,,data\structures\heme_transplant\pdb\ENZ_G000372_heme.pdb,data\structures\alphafold\pdb\AF-A0A6M4EMQ3-F1.pdb,-0.811,-6.149,-1.677
372,A0A6S4FT50,ENZ_G000373,A0A6S4FT50,alphafill_not_found,batch_2,0,,,,,,3.258,-3.206,2.552
373,A0A7D3QT71,ENZ_G000374,A0A7D3QT71,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7D3QT71-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7D3QT71-F1.pdb,3.623,-0.831,3.455
374,A0A7D5Q3W9,ENZ_G000375,A0A7D5Q3W9,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7D5Q3W9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7D5Q3W9-F1.pdb,3.333,-2.816,2.14
375,A0A7D5QBW0,ENZ_G000376,A0A7D5QBW0,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7D5QBW0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7D5QBW0-F1.pdb,3.453,-2.867,0.303
376,A0A7D5U6L5,ENZ_G000377,A0A7D5U6L5,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7D5U6L5-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7D5U6L5-F1.pdb,3.521,-4.002,0.721
377,A0A7G8Z808,ENZ_G000378,A0A7G8Z808,pcpd_predicted,batch_1,1,,pcpd/CYP72A564.pdb,,,,56.453,-6.17,10.936
378,A0A7S5UBC9,ENZ_G000379,A0A7S5UBC9,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7S5UBC9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7S5UBC9-F1.pdb,-3.061,3.589,0.818
379,A0A7S6UDI5,ENZ_G000380,A0A7S6UDI5,pcpd_predicted,batch_1,1,,pcpd/CYP72A800.pdb,,,,55.806,-6.683,11.198
380,A0A7S6ZR32,ENZ_G000381,A0A7S6ZR32,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7S6ZR32-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7S6ZR32-F1.pdb,3.67,-0.472,4.611
381,A0A7S9IUH5,ENZ_G000382,A0A7S9IUH5,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7S9IUH5-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7S9IUH5-F1.pdb,5.907,-3.613,1.369
382,A0A7T5Y3G4,ENZ_G000383,A0A7T5Y3G4,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7T5Y3G4-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7T5Y3G4-F1.pdb,-2.829,-2.532,-3.157
383,A0A7T6C3T7,ENZ_G000384,A0A7T6C3T7,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7T6C3T7-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7T6C3T7-F1.pdb,3.675,-3.472,1.783
384,A0A7T8F1I4,ENZ_G000385,A0A7T8F1I4,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7T8F1I4-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7T8F1I4-F1.pdb,4.291,-6.061,1.329
385,A0A7T9QPT0,ENZ_G000386,A0A7T9QPT0,pcpd_predicted,batch_1,1,,pcpd/CYP719A37.pdb,,,,55.636,-6.546,10.531
386,A0A7U2QZH8,ENZ_G000387,A0A7U2QZH8,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A7U2QZH8-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A7U2QZH8-F1.pdb,-3.601,3.714,-2.714
387,A0A861B5L6,ENZ_G000388,A0A861B5L6,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A861B5L6-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A861B5L6-F1.pdb,3.167,-3.273,-1.222
388,A0A8A6L933,ENZ_G000389,A0A8A6L933,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6L933-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8A6L933-F1.pdb,0.707,-5.815,1.22
389,A0A8A6L938,ENZ_G000390,A0A8A6L938,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6L938-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8A6L938-F1.pdb,2.67,-3.198,1.83
390,A0A8A6LBM9,ENZ_G000391,A0A8A6LBM9,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6LBM9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8A6LBM9-F1.pdb,1.509,-5.389,2.142
391,A0A8A6LE54,ENZ_G000392,A0A8A6LE54,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6LE54-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8A6LE54-F1.pdb,2.723,-4.929,1.882
392,A0A8A6LFR9,ENZ_G000393,A0A8A6LFR9,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6LFR9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8A6LFR9-F1.pdb,2.966,-2.926,1.998
393,A0A8A6LLE0,ENZ_G000394,A0A8A6LLE0,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8A6LLE0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8A6LLE0-F1.pdb,1.801,-4.272,1.605
394,A0A8C1NRV4,ENZ_G000395,A0A8C1NRV4,heme_transplanted,batch_1,1,tier3,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8C1NRV4-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8C1NRV4-F1.pdb,-1.779,4.981,-0.54
395,A0A8C4ECQ9,ENZ_G000396,A0A8C4ECQ9,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8C4ECQ9-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8C4ECQ9-F1.pdb,2.793,-4.069,1.16
396,A0A8E4JDT5,ENZ_G000397,A0A8E4JDT5,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8E4JDT5-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8E4JDT5-F1.pdb,2.926,-0.819,2.379
397,A0A8E6Y5Y9,ENZ_G000398,A0A8E6Y5Y9,pcpd_predicted,batch_1,1,,pcpd/CYP76F112.pdb,,,,56.7,-6.491,11.698
398,A0A8F4SN83,ENZ_G000399,A0A8F4SN83,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8F4SN83-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8F4SN83-F1.pdb,3.035,-1.2,3.421
399,A0A8F5FCX1,ENZ_G000400,A0A8F5FCX1,heme_transplant_failed,batch_2,0,,,,data\structures\heme_transplant\pdb\ENZ_G000400_heme.pdb,data\structures\alphafold\pdb\AF-A0A8F5FCX1-F1.pdb,6.054,-3.185,-0.809
400,A0A8I3B027,ENZ_G000401,A0A8I3B027,experimental_pdb,batch_1,1,,s1_rcsb/6VXV,,,,13.928,11.592,25.172
401,A0A8I3B043,ENZ_G000402,A0A8I3B043,experimental_pdb,batch_1,1,,s1_rcsb/6XAL,,,,8.529,-18.193,9.977
402,A0A8T9JAX0,ENZ_G000403,A0A8T9JAX0,heme_transplanted,batch_1,1,tier1,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A8T9JAX0-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A8T9JAX0-F1.pdb,2.361,-0.146,3.437
403,A0A9E7LUJ4,ENZ_G000404,A0A9E7LUJ4,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9E7LUJ4-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A9E7LUJ4-F1.pdb,3.023,-5.033,0.77
404,A0A9E7S4M3,ENZ_G000405,A0A9E7S4M3,heme_transplanted,batch_1,1,tier2,,,D:\EZSpecificity_Project\毕业设计\P450_EZSpecificity_研究项目\PathC_2026-03-19_P450专属模型训练\C2_P450数据集构建\data\structures\heme_transplant\pdb\AF-A0A9E7S4M3-F1_heme.pdb,data\structures\alphafold\pdb\AF-A0A9E7S4M3-F1.pdb,-1.331,-2.341,-0.654
